,Cuisine,BusinessId
71,italian,zg9Jrtx9rqTXeaqufSOxHQ
72,italian,f_1BjTChf6bobreSRpqhsw
73,italian,Be1Y-vAEMgo7lqL5alXgDA
74,italian,-Gc5sTFxoXM3Tiv_dkSJZg
75,italian,C8Ctyq7pXOPESK8cz_X2CA
76,italian,lP4ynyBoeFPywLg78XkMmw
77,italian,ZamvzoxEKiJEboO0ZUdogw
78,italian,K9Ur20N51Li3sAvaV9-6Ng
79,italian,fFIQ8Rx4x1Z34kFJcmlVzQ
80,italian,H_KyiRhwho8rdlw_R93_0Q
81,italian,zYaYXpmlo6QdnaPwuxWHhQ
82,italian,I2lgw_7DUnwD92ND4PN-Ow
83,italian,z8TIY5xLeQptbXxZp3LpsA
84,italian,riykDqJw_NPGssLgqCeD-Q
85,italian,RbiXVG4tzpC3zuILadyPIQ
86,italian,6Z5OWpaeGGazJHR4LfThsw
87,italian,twHJyFgUSd7wzioKQjE7Jw
88,italian,FKzpfWUpyupl4q74Jt8fTA
89,italian,JwCnSW-RQ7_DxvbzWNO1hA
90,italian,q8myw-sQtrmn0w-tKSC5cA
91,italian,vXYFa2qzppkGiOiVPrLwDQ
92,italian,yQ7K4uFnxXxpBVbnOSR8kA
93,italian,KXhxtA_JDkCrujeyXvqsgQ
94,italian,9T8Ootw4aqmaO42gI-wBSA
95,italian,XHhRAKq6DArQXYhkgvwaow
96,italian,Fit_iIDn__NPVZpVlKFBFQ
97,italian,3uyBZNbDk2vRFBBWZOdIUA
98,italian,xsQTIeq-WLkp4ParkTQpMQ
99,italian,tRIHhPKryUZ56SfIz6mLiA
100,italian,b6jOwyX4iaagw8YjXqq1sA
101,italian,rZ9OFoSqy8u4WECfh--ylg
102,italian,QObHX0yR6zd0WfksRDbJTA
103,italian,0axnkZlDiQcJVc06DDXxGQ
104,italian,32VbG_XgkZIuye0PV-BxaA
105,italian,FRp1NwIyp6tkDU986cJkXQ
106,italian,a4WZUTKn90dOkeY38JHNjQ
107,italian,3qIISjUYn1tbqHXi7nCLXg
108,italian,a0IET3_yCFcO36OqGSsisg
109,italian,H_TGP2AgX3IUmzq8Aml79Q
110,italian,J38XGzriEkMsDfCMt6et_g
111,italian,Z-QmxQZAJEy5GXqA82Bemw
112,italian,nSk_zCJESMKGLHyJTPPlZA
113,italian,RPP_wHhM8yZYIP5W-YHk6Q
114,italian,-hUvO0C0A-pGZdiSKvjoFw
115,italian,JBthOvTegHbrLDiVaCAy5Q
116,italian,NAlOPUbFQVE0bUu8_wmBLQ
117,italian,l7OsDvMOO3ji3fg0nT0QzA
118,italian,5Akss-swwfyoSVeIsDBbvw
119,italian,9K0run3oObR0YT4jaOEvWg
120,italian,JOvcJqD5eCFrGjFa6k7vpQ
121,italian,xKIv_b2L2pUHmsoJ-xOepg
122,italian,rJJiGJx3kfMAxtD7P7okHQ
123,italian,M4pCWzdBCkp2g_d834a7Hw
124,italian,aJJlY5xvqS180wtRIHEWqA
125,italian,r2nIYBSyXny1-7XvsL2PVg
126,italian,PQd4M3cuSgdweWgLgZIslQ
127,italian,9iC39Z1YjZKbrrCANgzBXg
128,italian,MeUq9lombxM9alxs64tejQ
129,italian,562aZEpTDdYKDe5hWuDyFA
130,italian,HodL0fXoF08C3Ir-kLeTtw
131,italian,kr5fRwdHtVwPPwSJxm9Fkg
132,italian,muX5xoh3aOleCrSja_T_FA
