,Cuisine,BusinessId,Name,Address,Coordinates,URL,NumberOfReviews,Rating,ZipCode
3118,indian,0s8rxDQhglhh28BLz-80qw,Mysttik Masaala,"['90 Park Ave', 'Corner of 40th Street', 'New York, NY 10016']","{'latitude': 40.75074, 'longitude': -73.97936}",https://www.yelp.com/biz/mysttik-masaala-new-york-18?adjust_creative=52yWt2D7942eXXw-S7kpfA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=52yWt2D7942eXXw-S7kpfA,18,5.0,10016
3119,indian,8Nva_eS_FxPOqVuUOvqz_Q,Indian Summer Harlem,"['239 Lenox Ave', 'New York, NY 10027']","{'latitude': 40.805898, 'longitude': -73.947324}",https://www.yelp.com/biz/indian-summer-harlem-new-york?adjust_creative=52yWt2D7942eXXw-S7kpfA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=52yWt2D7942eXXw-S7kpfA,143,4.5,10027
3120,indian,qs5aBgcT2v1BFlW-XqQS0Q,Biryani Cart,"['46th St & 6th Ave', 'New York, NY 10003']","{'latitude': 40.757403, 'longitude': -73.9822503}",https://www.yelp.com/biz/biryani-cart-new-york?adjust_creative=52yWt2D7942eXXw-S7kpfA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=52yWt2D7942eXXw-S7kpfA,559,3.5,10003
3121,indian,bFUVp77ApNkACqXvgiekPQ,Bhatti Indian Grill,"['100 Lexington Ave', 'New York, NY 10016']","{'latitude': 40.74221, 'longitude': -73.98308}",https://www.yelp.com/biz/bhatti-indian-grill-new-york?adjust_creative=52yWt2D7942eXXw-S7kpfA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=52yWt2D7942eXXw-S7kpfA,852,3.5,10016
3122,indian,hKKDfUPcDX_c-RCWBMOr1w,Bombay Sandwich Co.,"['48 W 27th St', 'New York, NY 10001']","{'latitude': 40.7450715521913, 'longitude': -73.990359620218}",https://www.yelp.com/biz/bombay-sandwich-co-new-york-40?adjust_creative=52yWt2D7942eXXw-S7kpfA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=52yWt2D7942eXXw-S7kpfA,452,4.0,10001
3123,indian,7YJxZAvMxB-oVZfHAuvBmw,Lakruwana Restaurant,"['668 Bay St', 'Staten Island, NY 10304']","{'latitude': 40.62571, 'longitude': -74.075373}",https://www.yelp.com/biz/lakruwana-restaurant-staten-island-2?adjust_creative=52yWt2D7942eXXw-S7kpfA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=52yWt2D7942eXXw-S7kpfA,391,4.5,10304
3124,indian,-mQG7oEHSAMr9dBDrrqI2g,deep indian kitchen - indikitch,"['1190 Avenue Of The Americas', 'Rockefeller Center', 'New York, NY 10036']","{'latitude': 40.75763, 'longitude': -73.9817}",https://www.yelp.com/biz/deep-indian-kitchen-indikitch-new-york-22?adjust_creative=52yWt2D7942eXXw-S7kpfA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=52yWt2D7942eXXw-S7kpfA,174,3.5,10036
3125,indian,hfCU-GH8GP6vjAknXUyhKQ,Cardamom Indian cuisine,"['43-45 43rd St Queens Blvd', 'Sunnyside, NY 11104']","{'latitude': 40.74384695079039, 'longitude': -73.921224}",https://www.yelp.com/biz/cardamom-indian-cuisine-sunnyside-2?adjust_creative=52yWt2D7942eXXw-S7kpfA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=52yWt2D7942eXXw-S7kpfA,236,4.5,11104
3126,indian,nBoOm-TAhRvbcDkHfKOwGg,Swagat Indian Restaurant,"['205 W 29th St', 'New York, NY 10001']","{'latitude': 40.748161, 'longitude': -73.993194}",https://www.yelp.com/biz/swagat-indian-restaurant-new-york-3?adjust_creative=52yWt2D7942eXXw-S7kpfA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=52yWt2D7942eXXw-S7kpfA,109,3.0,10001
3127,indian,lIE4KHySIenwPbta1JuM8Q,Mumbai Masala,"['1768 Amsterdam Ave', 'New York, NY 10031']","{'latitude': 40.82695, 'longitude': -73.94676}",https://www.yelp.com/biz/mumbai-masala-new-york-2?adjust_creative=52yWt2D7942eXXw-S7kpfA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=52yWt2D7942eXXw-S7kpfA,260,4.5,10031
3128,indian,tfGKVbzMHq4mhVBzrDnVWQ,Lahori Kabab Restaurant,"['106 Lexington Ave', 'New York, NY 10016']","{'latitude': 40.742411, 'longitude': -73.9829868}",https://www.yelp.com/biz/lahori-kabab-restaurant-new-york?adjust_creative=52yWt2D7942eXXw-S7kpfA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=52yWt2D7942eXXw-S7kpfA,98,3.5,10016
3129,indian,nd0uXNXaeaDMuMk4C1GusA,Bukhara Grill:Indian Spice Rave,"['217 E 49th St', 'New York, NY 10017']","{'latitude': 40.75501, 'longitude': -73.97028}",https://www.yelp.com/biz/bukhara-grill-indian-spice-rave-new-york?adjust_creative=52yWt2D7942eXXw-S7kpfA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=52yWt2D7942eXXw-S7kpfA,554,3.5,10017
3130,indian,jzO5HyrTtumHpe-pbUlndQ,Aangan Indian Cuisine,"['2701 Broadway', 'New York, NY 10025']","{'latitude': 40.799446, 'longitude': -73.968795}",https://www.yelp.com/biz/aangan-indian-cuisine-new-york?adjust_creative=52yWt2D7942eXXw-S7kpfA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=52yWt2D7942eXXw-S7kpfA,224,3.5,10025
3131,indian,IFZ3_d01uflGixWrrD8_gg,Ariana Afghan Kebab Restaurant,"['787 9th Ave', 'Apt 3N', 'New York, NY 10019']","{'latitude': 40.76515, 'longitude': -73.98813}",https://www.yelp.com/biz/ariana-afghan-kebab-restaurant-new-york?adjust_creative=52yWt2D7942eXXw-S7kpfA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=52yWt2D7942eXXw-S7kpfA,542,4.0,10019
3132,indian,AuCRCB64bsBMdq02ydEuCA,Manhattan Indian Flavor,"['311 2nd Ave', 'New York, NY 10003']","{'latitude': 40.73504, 'longitude': -73.98321}",https://www.yelp.com/biz/manhattan-indian-flavor-new-york?adjust_creative=52yWt2D7942eXXw-S7kpfA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=52yWt2D7942eXXw-S7kpfA,16,4.0,10003
3133,indian,DOdbSGm9ULZlVz-1-Jjhmg,Chote Nawab,"['115 Lexington Ave', 'New York, NY 10016']","{'latitude': 40.742462, 'longitude': -73.982322}",https://www.yelp.com/biz/chote-nawab-new-york?adjust_creative=52yWt2D7942eXXw-S7kpfA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=52yWt2D7942eXXw-S7kpfA,580,3.5,10016
3134,indian,KbCLZOKvPdNY7ptAg0kGxw,The Kati Roll Company,"['229 E 53rd St', 'New York, NY 10022']","{'latitude': 40.757396, 'longitude': -73.968106}",https://www.yelp.com/biz/the-kati-roll-company-new-york-4?adjust_creative=52yWt2D7942eXXw-S7kpfA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=52yWt2D7942eXXw-S7kpfA,348,3.5,10022
3135,indian,GVaTZnN7a-DkrK57l7BbGw,Boishakhi Restaurant,"['2914 36th Ave', 'Astoria, NY 11106']","{'latitude': 40.7569548876687, 'longitude': -73.9310011267662}",https://www.yelp.com/biz/boishakhi-restaurant-astoria-2?adjust_creative=52yWt2D7942eXXw-S7kpfA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=52yWt2D7942eXXw-S7kpfA,100,4.0,11106
3136,indian,IbB_7AxWQtDFW1iKnoD1Ug,BK JANI,"['679 Grand St', 'Brooklyn, NY 11211']","{'latitude': 40.71165, 'longitude': -73.94529}",https://www.yelp.com/biz/bk-jani-brooklyn-3?adjust_creative=52yWt2D7942eXXw-S7kpfA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=52yWt2D7942eXXw-S7kpfA,401,4.0,11211
3137,indian,bgMbt6XbOaAu5VNXr5kCdQ,Polash,"['2179 3rd Ave', 'New York, NY 10035']","{'latitude': 40.79965, 'longitude': -73.93855}",https://www.yelp.com/biz/polash-new-york?adjust_creative=52yWt2D7942eXXw-S7kpfA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=52yWt2D7942eXXw-S7kpfA,223,4.0,10035
